province,year,subject_type,major,min_score,min_rank,batch,source_file,source_url
天津,2025,综合改革,测控技术与仪器,627,7161,本科批,hebut_tianjin.xlsx,
天津,2023,综合改革,人工智能,629,6809,本科批,hebut_tianjin.xlsx,
天津,2024,综合改革,人工智能,626,6258,本科批,hebut_tianjin.xlsx,
天津,2025,综合改革,人工智能,627,7161,本科批,hebut_tianjin.xlsx,
天津,2023,综合改革,通信工程,630,6632,本科批,hebut_tianjin.xlsx,
天津,2024,综合改革,通信工程,625,6455,本科批,hebut_tianjin.xlsx,
天津,2025,综合改革,通信工程,627,7161,本科批,hebut_tianjin.xlsx,
天津,2023,综合改革,能源与动力工程,625,7513,本科批,hebut_tianjin.xlsx,
天津,2024,综合改革,能源与动力工程,621,7197,本科批,hebut_tianjin.xlsx,
天津,2025,综合改革,能源与动力工程,626,7354,本科批,hebut_tianjin.xlsx,
天津,2023,综合改革,新能源科学与工程,627,7157,本科批,hebut_tianjin.xlsx,
天津,2024,综合改革,新能源科学与工程,624,6629,本科批,hebut_tianjin.xlsx,
天津,2025,综合改革,新能源科学与工程,625,7531,本科批,hebut_tianjin.xlsx,
天津,2023,综合改革,车辆工程,623,7894,本科批,hebut_tianjin.xlsx,
天津,2024,综合改革,车辆工程,619,7577,本科批,hebut_tianjin.xlsx,
天津,2025,综合改革,车辆工程,624,7725,本科批,hebut_tianjin.xlsx,
天津,2023,综合改革,智能制造工程,625,7513,本科批,hebut_tianjin.xlsx,
天津,2024,综合改革,智能制造工程,618,7777,本科批,hebut_tianjin.xlsx,
天津,2025,综合改革,智能制造工程,624,7725,本科批,hebut_tianjin.xlsx,
天津,2023,综合改革,光电信息科学与工程,,,本科批,hebut_tianjin.xlsx,
天津,2024,综合改革,光电信息科学与工程,,,本科批,hebut_tianjin.xlsx,
天津,2025,综合改革,光电信息科学与工程,624,7725,本科批,hebut_tianjin.xlsx,
天津,2023,综合改革,机器人工程,,,本科批,hebut_tianjin.xlsx,
天津,2024,综合改革,机器人工程,618,7777,本科批,hebut_tianjin.xlsx,
天津,2025,综合改革,机器人工程,623,7919,本科批,hebut_tianjin.xlsx,
天津,2023,综合改革,思想政治教育,628,6992,本科批,hebut_tianjin.xlsx,
天津,2024,综合改革,思想政治教育,621,7197,本科批,hebut_tianjin.xlsx,
天津,2025,综合改革,思想政治教育,623,7919,本科批,hebut_tianjin.xlsx,
天津,2023,综合改革,储能科学与工程,,,本科批,hebut_tianjin.xlsx,
天津,2024,综合改革,储能科学与工程,619,7577,本科批,hebut_tianjin.xlsx,
天津,2025,综合改革,储能科学与工程,622,8141,本科批,hebut_tianjin.xlsx,
天津,2023,综合改革,物联网工程,629,6809,本科批,hebut_tianjin.xlsx,
天津,2024,综合改革,物联网工程,624,6629,本科批,hebut_tianjin.xlsx,
天津,2025,综合改革,物联网工程,622,8141,本科批,hebut_tianjin.xlsx,
天津,2023,综合改革,应用统计学,625,7513,本科批,hebut_tianjin.xlsx,
天津,2024,综合改革,应用统计学,621,7197,本科批,hebut_tianjin.xlsx,
天津,2025,综合改革,应用统计学,621,8339,本科批,hebut_tianjin.xlsx,
